Date;Municipio;ndvi_mean;;;;;
29/08/2002;FORTUL;5541,694409;;;;;
29/08/2002;PUERTO RONDON;6387,152899;;;;;
29/08/2002;SARAVENA;6874,344183;;;;;
29/08/2002;TAME;6424,994922;;;;;
14/09/2002;ARAUCA;6550,941779;;;;;
14/09/2002;ARAUQUITA;7724,174718;;;;;
14/09/2002;CRAVO NORTE;5792,005284;;;;;
14/09/2002;FORTUL;5904,083948;;;;;
14/09/2002;PUERTO RONDON;6370,155011;;;;;
14/09/2002;SARAVENA;7437,727522;;;;;
14/09/2002;TAME;6441,346359;;;;;
30/09/2002;ARAUCA;6741,73488;;;;;
30/09/2002;ARAUQUITA;8009,7603;;;;;
30/09/2002;CRAVO NORTE;5614,130257;;;;;
30/09/2002;FORTUL;5985,308385;;;;;
30/09/2002;PUERTO RONDON;6478,771253;;;;;
30/09/2002;SARAVENA;7723,659327;;;;;
30/09/2002;TAME;6835,309172;;;;;
16/10/2002;ARAUCA;6068,279521;;;;;
16/10/2002;ARAUQUITA;7435,683526;;;;;
16/10/2002;CRAVO NORTE;5015,735819;;;;;
16/10/2002;FORTUL;4701,700796;;;;;
16/10/2002;PUERTO RONDON;6065,432702;;;;;
16/10/2002;SARAVENA;7060,72676;;;;;
16/10/2002;TAME;5906,271944;;;;;
1/11/2002;ARAUCA;6688,945796;;;;;
1/11/2002;ARAUQUITA;7665,036502;;;;;
1/11/2002;CRAVO NORTE;5832,409204;;;;;
1/11/2002;FORTUL;5810,250458;;;;;
1/11/2002;PUERTO RONDON;6192,76318;;;;;
1/11/2002;SARAVENA;7649,814364;;;;;
1/11/2002;TAME;6496,072668;;;;;
17/11/2002;ARAUCA;6706,575926;;;;;
17/11/2002;ARAUQUITA;7221,109098;;;;;
17/11/2002;CRAVO NORTE;6062,666868;;;;;
17/11/2002;FORTUL;5509,461039;;;;;
17/11/2002;PUERTO RONDON;6166,184468;;;;;
17/11/2002;SARAVENA;7270,561553;;;;;
17/11/2002;TAME;6030,752697;;;;;
3/12/2002;ARAUCA;6628,902551;;;;;
3/12/2002;ARAUQUITA;7744,705432;;;;;
