formatted_date;temperature_2m; total_precipitation_sum
31/10/1950;293,1005601;0,00734096
1/11/1950;293,3410814;0,007867926
2/11/1950;293,1955498;0,014569946
3/11/1950;293,1968195;0,02223164
4/11/1950;292,7486606;0,01552162
5/11/1950;292,4384003;0,011708909
6/11/1950;292,4907447;0,013106516
7/11/1950;292,2235941;0,018567136
8/11/1950;292,561275;0,019022581
9/11/1950;292,9043948;0,008155382
10/11/1950;293,1065459;0,009588456
11/11/1950;293,3972997;0,014844776
12/11/1950;292,9199917;0,020310204
13/11/1950;292,6168212;0,015269286
14/11/1950;292,5710986;0,020904166
15/11/1950;292,0550628;0,023877129
16/11/1950;292,2801022;0,01141822
17/11/1950;291,7934961;0,040500078
18/11/1950;291,9306496;0,035110951
19/11/1950;292,5294263;0,008164669
20/11/1950;293,0237832;0,00985868
21/11/1950;292,727481;0,016628367
22/11/1950;292,4962338;0,013066897
23/11/1950;292,8466518;0,008043873
24/11/1950;293,0498772;0,012754443
25/11/1950;292,5797661;0,035052188
26/11/1950;291,5709965;0,027641918
27/11/1950;291,7864453;0,020419091
28/11/1950;292,1213182;0,017664988
29/11/1950;292,1004092;0,021404982
30/11/1950;292,3227349;0,016457404
1/12/1950;292,6553353;0,010696537
2/12/1950;292,9894113;0,009300381
3/12/1950;292,9303963;0,013393518
4/12/1950;292,4106417;0,016876128
5/12/1950;292,6132813;0,014092153
6/12/1950;292,8363567;0,010413632
7/12/1950;292,5331785;0,010890935
8/12/1950;293,0620195;0,002737092
9/12/1950;292,9914081;0,016413316
10/12/1950;292,4384642;0,035683309
11/12/1950;292,1604621;0,017160582
12/12/1950;292,7357589;0,006071948
13/12/1950;293,141287;0,011697984
14/12/1950;293,036441;0,01484175
15/12/1950;293,2994562;0,005303782
16/12/1950;293,4728635;0,009495947
17/12/1950;292,7570026;0,012104861
18/12/1950;292,8033263;0,014034236
19/12/1950;292,9292173;0,00805315
20/12/1950;292,7431065;0,008607529
21/12/1950;292,7765646;0,005340971
22/12/1950;292,8848437;0,013159253
23/12/1950;292,9028115;0,007821662
24/12/1950;293,0455825;0,00795451
25/12/1950;292,6833379;0,008464691
26/12/1950;292,7456696;0,004896033
27/12/1950;293,1692654;0,003748666
28/12/1950;293,0932309;0,003327911
29/12/1950;293,3368275;0,004833127
30/12/1950;293,3787105;0,004322977
31/12/1950;293,2543501;0,015964848
1/01/1951;293,3758812;0,006314738
2/01/1951;293,3141912;0,002990455
3/01/1951;293,14076;0,009593838
4/01/1951;292,9335259;0,006274486
5/01/1951;292,5059204;0,008402888
6/01/1951;292,3360043;0,00615963
7/01/1951;292,1878179;0,014203251
8/01/1951;292,1303709;0,00752699
9/01/1951;291,9112341;0,007684978
10/01/1951;291,992864;0,0013262
11/01/1951;292,0676814;0,004851476
12/01/1951;292,4621316;8,90E-04
13/01/1951;292,89283;0,005807634
14/01/1951;292,7405742;0,011523368
15/01/1951;292,4005656;0,006747338
16/01/1951;292,4147167;0,01024186
17/01/1951;292,505337;0,007174974
18/01/1951;292,9428931;0,007612048
19/01/1951;293,0355989;0,006119246
20/01/1951;293,4857452;0,004528499
21/01/1951;293,5760498;0,005549452
22/01/1951;292,7421724;0,018260402
23/01/1951;292,5468192;0,011419027
24/01/1951;292,315121;0,007944249
25/01/1951;292,5484253;0,007925058
26/01/1951;292,4047792;0,010878498
27/01/1951;292,6399419;0,00594469
28/01/1951;293,0220212;0,00919284
29/01/1951;292,606271;0,01405721
30/01/1951;292,7284666;0,006541499
31/01/1951;292,8243856;0,00533781
1/02/1951;292,6269653;0,010830578
2/02/1951;292,496404;0,008320312
3/02/1951;292,132541;0,009376075
4/02/1951;291,6519895;0,011937535
5/02/1951;292,1179223;0,007203492
6/02/1951;292,4177226;0,007288705
7/02/1951;292,524737;0,01253154
8/02/1951;292,4067268;0,008561272
9/02/1951;292,4226793;0,009340302
10/02/1951;292,5673477;0,01269578
11/02/1951;292,2707437;0,013174261
12/02/1951;292,1567903;0,017204412
13/02/1951;291,8805221;0,014650763
14/02/1951;292,129608;0,01178646
15/02/1951;291,908322;0,017586582
16/02/1951;291,9507335;0,013465881
17/02/1951;292,5167434;0,013162838
18/02/1951;293,4754008;0,004770523
19/02/1951;293,5435974;0,014165602
20/02/1951;293,1154289;0,013009597
21/02/1951;292,935442;0,012984438
22/02/1951;292,7856919;0,020658937
23/02/1951;292,6852723;0,027943888
24/02/1951;293,0823738;0,010871629
25/02/1951;293,4587889;0,013940622
26/02/1951;293,5082433;0,017545537
27/02/1951;293,9598061;0,006251013
28/02/1951;293,84634;0,010996889
1/03/1951;293,5400675;0,017991951
2/03/1951;293,6654749;0,003253305
3/03/1951;294,279728;0,002730673
4/03/1951;293,826493;0,011674811
5/03/1951;293,8315071;0,00575157
6/03/1951;293,8749298;0,004814131
7/03/1951;293,8491775;0,005364498
8/03/1951;293,5880784;0,009281986
9/03/1951;293,3763337;0,013965261
10/03/1951;293,7123838;0,007984173
11/03/1951;293,2183754;0,011205236
12/03/1951;293,3223961;0,005807578
13/03/1951;293,34305;0,008519049
14/03/1951;293,5815928;0,001852863
15/03/1951;293,7530793;0,005047316
16/03/1951;293,6097687;0,018228007
