formatted_date;temperature_2m_min; temperature_2m_max
10/12/1950;291,0971165;294,7511975
11/12/1950;290,4265425;294,7489584
12/12/1950;290,2148809;296,7879805
13/12/1950;290,8022143;297,0507337
14/12/1950;290,5546361;296,7222039
15/12/1950;290,2550528;297,7538232
16/12/1950;290,7793656;297,8664212
17/12/1950;290,5748156;296,176303
18/12/1950;290,4409355;296,8555115
19/12/1950;290,4305685;297,1873646
20/12/1950;290,4324862;296,5788747
21/12/1950;290,0147265;296,6996276
22/12/1950;290,7722951;296,0824596
23/12/1950;289,943321;297,1451828
24/12/1950;290,3020057;297,0885241
25/12/1950;290,4654199;295,945328
26/12/1950;290,2596154;296,7014469
27/12/1950;290,4555909;297,3879215
28/12/1950;290,5677321;296,5934343
29/12/1950;290,9411813;297,0048592
30/12/1950;290,6203496;297,549693
31/12/1950;291,2977542;296,0765795
1/01/1951;290,6500453;297,5060631
2/01/1951;290,379343;297,3316606
3/01/1951;291,0045011;296,803465
4/01/1951;290,4836625;296,7350349
5/01/1951;290,2332127;296,1441676
6/01/1951;289,8271166;296,0560664
7/01/1951;290,3081634;294,8132244
8/01/1951;289,8710552;295,6329276
9/01/1951;289,7251378;295,2920518
10/01/1951;288,8721678;295,8860919
11/01/1951;289,3996824;295,6079729
12/01/1951;288,6162802;297,3274952
13/01/1951;289,7388138;296,8641314
14/01/1951;290,366916;296,3762337
15/01/1951;289,9947288;295,93946
16/01/1951;290,1321019;295,8353412
17/01/1951;289,6368412;296,7684668
18/01/1951;289,9511229;297,2643361
19/01/1951;290,2443663;296,9079432
20/01/1951;290,5228738;297,9890262
21/01/1951;290,5793897;297,9362439
22/01/1951;290,5240821;295,8445768
23/01/1951;290,1296301;296,2682137
24/01/1951;289,1745686;296,4477718
25/01/1951;290,0977751;296,3458369
26/01/1951;289,9998963;296,1080865
27/01/1951;289,3288755;297,4006091
28/01/1951;290,0352669;297,5539798
29/01/1951;290,0279654;296,3933437
30/01/1951;290,0001833;296,523344
31/01/1951;289,9388044;296,9212705
1/02/1951;290,3197484;296,1956358
2/02/1951;289,460214;296,5765527
3/02/1951;289,5374673;295,8229892
4/02/1951;289,1861705;295,3543872
5/02/1951;289,2043097;296,5641032
6/02/1951;288,9276657;297,3103739
7/02/1951;289,754182;296,716006
8/02/1951;289,6078984;296,7465658
9/02/1951;289,8332505;296,3587795
10/02/1951;289,5687093;296,9794742
11/02/1951;290,0217087;296,3530276
12/02/1951;289,932285;296,0335407
13/02/1951;289,7442774;295,5329527
14/02/1951;288,9513226;296,6660055
15/02/1951;290,0656733;294,887118
16/02/1951;289,7728637;295,6908609
17/02/1951;289,6945524;296,8547652
